make,model,mileage,fuel-type,first-registration,price
suzuki,ignis,1,2,11-2023,19400
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,unknown,2,new,18900
suzuki,ignis,76000,2,06-2021,13000
suzuki,ignis,42000,2,02-2021,14000
suzuki,ignis,32635,2,05-2020,16900
suzuki,ignis,79514,b,02-2017,13900
suzuki,ignis,unknown,2,new,17200
suzuki,ignis,35000,b,01-2017,12400
suzuki,ignis,105000,b,01-2019,12700
suzuki,ignis,unknown,2,new,16900
suzuki,ignis,31000,2,01-2021,16500
suzuki,ignis,180000,b,12-2001,2900
suzuki,ignis,35000,2,09-2020,16900
suzuki,ignis,153000,b,01-2007,5500
suzuki,ignis,unknown,2,new,15200
suzuki,ignis,44000,b,06-2019,13900
suzuki,ignis,61030,2,02-2020,14214
suzuki,ignis,29678,b,02-2021,16100
suzuki,ignis,66000,b,01-2019,13850
suzuki,ignis,100,2,10-2023,17950
suzuki,ignis,unknown,2,new,16700
suzuki,ignis,unknown,2,new,16900
suzuki,ignis,22800,2,07-2021,16250
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,32635,2,05-2020,16900
suzuki,ignis,unknown,2,new,16900
suzuki,ignis,unknown,2,new,16900
suzuki,ignis,35000,2,09-2020,16900
suzuki,ignis,unknown,2,new,17200
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,100,2,10-2023,17950
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,unknown,b,new,18499
suzuki,ignis,53166,2,01-2018,18500
suzuki,ignis,1,2,06-2023,19900
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,7600,2,06-2021,16000
suzuki,ignis,57800,b,01-2018,16450
suzuki,ignis,60923,b,08-2019,16900
suzuki,ignis,63000,2,05-2018,16200
suzuki,ignis,15,2,11-2023,23300
suzuki,ignis,54900,b,08-2019,16950
suzuki,ignis,38000,2,03-2017,17000
suzuki,ignis,20300,2,06-2021,19600
suzuki,ignis,31900,b,06-2019,17900
suzuki,ignis,29400,2,05-2020,18500
suzuki,ignis,54730,b,06-2018,17300
suzuki,ignis,0,2,12-2023,22900
suzuki,ignis,unknown,2,new,21400
suzuki,ignis,1,2,09-2023,22450
suzuki,ignis,84000,b,10-2018,15900
suzuki,ignis,80500,2,01-2020,16000
suzuki,ignis,0,2,10-2023,22900
suzuki,ignis,1,2,07-2023,22800
suzuki,ignis,1,2,05-2023,22800
suzuki,ignis,42800,b,07-2017,16500
suzuki,ignis,0,2,12-2023,22900
suzuki,ignis,15,2,11-2023,23300
suzuki,ignis,56000,2,05-2019,15600
suzuki,ignis,41100,2,01-2020,14400
suzuki,ignis,unknown,2,new,16320
suzuki,ignis,16743,2,03-2021,17800
suzuki,ignis,30000,2,11-2020,17900
suzuki,ignis,40127,2,02-2017,14900
suzuki,ignis,58000,2,11-2019,15500
suzuki,ignis,5,2,09-2023,17920
suzuki,ignis,unknown,2,new,18120
suzuki,ignis,unknown,2,new,19400
suzuki,ignis,36000,2,02-2022,20200
suzuki,ignis,54475,b,09-2017,16900
suzuki,ignis,135000,2,06-2017,8200
suzuki,ignis,35116,b,12-2017,11900
suzuki,ignis,35116,b,07-2017,11500
suzuki,ignis,35116,b,07-2017,12000
suzuki,ignis,49385,l,05-2018,13300
suzuki,ignis,3381,2,03-2023,16950
suzuki,ignis,290,2,01-2022,20500
suzuki,ignis,33428,2,02-2021,18900
suzuki,ignis,11300,2,10-2021,16900
suzuki,ignis,45900,2,09-2020,13900
suzuki,ignis,24500,2,10-2019,13590
suzuki,ignis,47700,2,02-2017,12800
suzuki,ignis,28000,b,01-2020,16900
suzuki,ignis,78000,2,11-2020,14150
suzuki,ignis,25000,2,08-2021,16500
suzuki,ignis,72000,b,12-2008,6950
suzuki,ignis,15000,b,02-2018,17800
suzuki,ignis,24900,b,01-2017,15900
suzuki,ignis,28592,b,03-2019,17490
suzuki,ignis,1,b,01-2023,22993
suzuki,ignis,61030,2,02-2020,14214
suzuki,ignis,45000,b,08-2018,17500
suzuki,ignis,10,2,01-2024,21765
